nr_id_unidade_negocio;nr_orders;nr_product_sku;nr_item_sku;dt_orders;nr_canal_venda;ds_status;nr_id_lojista;qty_item;vl_item;vl_product_unit;vl_discounting;vl_product_discounting;vl_freight_discounting;vl_freight
1;225818259;1504196985;1504196985;20200804;18;PAP;30976;1;"219,9";NULL;0;"219,9";"57,83";"57,83"
1;225818455;7906859;7906859;20200804;7;ENT;30976;1;"139,9";NULL;0;"139,9";"22,94";"22,94"
1;225820357;5159565;5159565;20200804;3;TRN;30976;1;259;NULL;0;259;"23,03";"23,03"
1;225820391;12037433;12037433;20200804;7;ENT;30976;1;449;NULL;0;449;"30,9";"30,9"
1;225820894;1504531520;1504531520;20200804;7;PAP;30976;1;"5,7077";NULL;0;"5,7077";"2,6623";"2,6623"
1;225820894;1504531520;1504531520;20200804;7;PAP;30976;1;"68,1923";NULL;0;"68,1923";"31,8077";"31,8077"
1;225823973;1503021715;1503021715;20200804;7;ETR;30976;1;"298,9";NULL;0;"298,9";"88,88";"88,88"
1;225824146;1500410654;1500410654;20200804;18;PVC;30976;1;"128,9";NULL;0;"128,9";"24,09";"24,09"
1;225824510;1504003031;1504003031;20200804;3;ETR;30976;1;"291,9";NULL;0;"291,9";"88,88";"88,88"
1;225824726;1502899677;1502899677;20200804;18;PVC;30976;1;"229,9";NULL;0;"229,9";"45,46";"45,46"
1;225825108;3790262;3790262;20200804;7;ENT;30976;1;"50,9";NULL;0;"50,9";"30,6";"30,6"
1;225825427;1501872685;1501872685;20200804;3;PVC;30976;1;"56,9";NULL;0;"56,9";"16,64";"16,64"
1;225828363;1504234274;1504234274;20200805;18;ENT;30976;1;109;NULL;0;109;"40,99";"40,99"
1;225828535;12089797;12089797;20200805;18;ENT;30976;1;"103,9";NULL;0;"103,9";"24,09";"24,09"
1;225831972;12161271;12161271;20200805;3;TRN;30976;1;"515,9";NULL;0;"515,9";"26,52";"26,52"
1;225832783;7906859;7906859;20200805;7;ENT;30976;1;"139,9";NULL;0;"139,9";"22,2";"22,2"
1;225834014;1501862434;1501862434;20200805;18;CAN;30976;2;"135,8";NULL;0;"135,8";16;16
1;225835278;5652093;5652093;20200805;3;PNE;30976;1;"164,9";NULL;0;"164,9";22;22
1;225836148;13421383;13421383;20200805;18;ENT;30976;1;"138,9";NULL;0;"138,9";"25,97";"25,97"
1;225837606;1501686252;1501686252;20200805;18;ENT;30976;1;"406,9";NULL;0;"406,9";"46,4";"46,4"
1;225841101;4026276;4026276;20200805;3;ENT;30976;1;"469,9";NULL;0;"469,9";"26,68";"26,68"
1;225842968;14946123;14946123;20200805;7;PAP;30976;1;"488,9";NULL;0;"488,9";"80,27";"80,27"
1;225848413;7906859;7906859;20200805;7;ENT;30976;1;"139,9";NULL;0;"139,9";"20,29";"20,29"
1;225851085;12885157;12885157;20200805;18;ENT;30976;1;"69,9";NULL;0;"69,9";"18,39";"18,39"
1;225856891;6659508;6659508;20200805;18;ENT;30976;1;"44,9";NULL;0;"44,9";"12,81";"12,81"
