ID Loja;Lojista;Cluster;Mundo;Responsável
14311;Facilit Eletro;A;Móveis;Suporte
14402;PORTAL DAS MALAS;A;Cauda Longa;Ana Pontes
14097;Perfumaria Seiki;A;Cauda Longa;Suporte
14007;SHOP IDEA;A;Cauda Longa;Suporte
12290;MEU TRAVESSEIRO;AAA;Cauda Longa;Paloma
14274;Dadoshop;A;Cauda Longa;Ana Pontes
14366;GRID MOTORS;A;Cauda Longa;Ana Pontes
12335;LOJAS MINEIRAS;AA;Cauda Longa;Decom
10246;Caçula de Pneus;A;Cauda Longa;Ana Pontes
11132;Marisa;A;Cauda Longa;Suporte
10854;Camisaria Colombo;AA;Cauda Longa;Ana Pontes
14679;BLU STORE BRASIL;A;Cauda Longa;Suporte
11307;LOJIX;A;Móveis;Suporte
12242;BEST SHOP BRASIL;A;Cauda Longa;Suporte
12055;MANCHESTER AUTOMAÇÃO COMERCIAL;A;Cauda Longa;Ana Pontes
13979;Raluni;A;Móveis;Suporte
12181;Maranbr;A;Cauda Longa;Ana Pontes
11265;CASALANDIA;A;Cauda Longa;Suporte
11479;SOMEWAY;A;Cauda Longa;Ana Pontes
12407;Panda Brinquedos;A;Cauda Longa;Ana Pontes
13803;Vitrino;A;Cauda Longa;Ana Pontes
13642;Kazamshop;A;Cauda Longa;Suporte
12276;SHOPAQUI;A;Cauda Longa;Suporte
11230;Mundo Adora;AA;Cauda Longa;Decom
13653;Loja Portal;A;Cauda Longa;Ana Pontes
10459;EletroPrinter;A;Cauda Longa;Ana Pontes
13597;Pedale Agora;AAA;Cauda Longa;Felipe 
11852;Audiotec Computadores;A;Cauda Longa;Ana Pontes
12361;Underbody;A;Tecnologia;Ana pontes
11602;Club Eletro;AA;Cauda Longa;Ana Pontes
14110;EMSTech;A;Cauda Longa;Suporte
13613;Lojão das Bicamas;AA;Móveis;Ana pontes
13711;Hard Fast;A;Tecnologia;Ana pontes
13839;Casadei;A;Cauda Longa;Ana Pontes
14072;Gotagua;A;Linha Branca;Ana pontes
12354;Filomena-Mena-Mena;A;Móveis;Ana pontes
12170;JAYOB;A;Cauda Longa;Suporte
13623;Dual Click;A;Cauda Longa;Ana Pontes
